,Unnamed: 0,제작(수입)사,차명,생산기간,시정기간,대상수량,장치분류,결함내용,시정방법,기타문의,Title,Ministry,Date,Subject
624,624,기아주식회사,스포티지 (SL),2013-07-11 ~ 2015-09-01,2022-10-31 ~,"97,022 대",제동장치,전자제어유압장치(HECU) 모듈 내 회로 기판의 전기적 합선으로 인해 전자제어유압장치 소손 가능성이 있어 안전운행에 지장을 줄 수 있음에 따른 리콜,소손 예방을 위한 HECU 개선퓨즈 장착,기아자동차 대표번호 080-200-2000,[기아] 스포티지 - 전자제어유압장치 관련 리콜,국토교통부,2022-10-31,[기아] 스포티지 - 전자제어유압장치 관련 리콜
625,625,현대자동차(주),투싼 (LM),2013-05-08 ~ 2015-03-17,2022-10-31 ~,"80,659 대",기타장치,전자제어유압장치(HECU) 모듈 내 회로 기판의 전기적 합선으로 소손되어 화재가 발생할 수 있는 가능성에 따른 리콜,소손 예방을 위한 HECU 개선퓨즈 장착,현대자동차 대표번호 080-600-6000,[현대] 투싼 - 전자제어유압장치 관련 리콜,국토교통부,2022-10-31,[현대] 투싼 - 전자제어유압장치 관련 리콜
626,626,스텔란티스코리아주식회사,2021~2022년식 Peugeot 5008 2.0 BlueHDi,2020-12-16 ~ 2021-10-19,2022-10-28 ~,40 대,전기장치,기존의 연료소비율이 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제108조의2(연료소비율)에서 정하는 기준에 부적합함에 따른 리콜,"연료소비율 차이로 인한 보상급 지급<*경제적 보상에 대한 자세한 사항은 제작사 고객센터로 문의하여 주시거나, 첨부된 고객통지문을 참고하여 주시기 바랍니다.>",스텔란티스코리아 대표번호 080-365-1200,[스텔란티스] Peugeot 5008 2.0 BlueHDi - 연료소비율 관련 리콜,국토교통부,2022-10-28,[스텔란티스] Peugeot 5008 2.0 BlueHDi - 연료소비율 관련 리콜
627,627,메르세데스벤츠코리아(주),"Mercedes-AMG E 53 4MATIC+, Mercedes-AMG E 53 4MATIC+ Coupe, Mercedes-AMG CLS 53 4MATIC+, Mercedes-AMG GT 43 4MATIC+",2018-11-23 ~ 2022-03-01,2022-10-28 ~,223 대,승차 및 실내장치,"변속기 배선의 길이 및 조립 공정의 오류로 인해 차량 운행 중 진동으로 변속기 배선 커넥터의 체결이 느슨해질 수 있으며, 이런 경우 도로나 주변 환경의 물이 커넥터에 유입될 수 있고 이로 인해 전기 단락에 의한 화재의 위험을 배제할 수 없음에 따른 리콜<*대상차량별 생산일자>Mercedes-AMG E 53 4MATIC+: 2018.11.23~2022.02.10Mercedes-AMG E 53 4MATIC+ Coupe: 2022.02.18~2022.02.21Mercedes-AMG CLS 53 4MATIC+: 2022.01.31~2022.02.25Mercedes-AMG GT 43 4MATIC+: 2022.01.31~2022.03.01",변속기 배선 커넥터 점검 및 필요 시 재작업 또는 교체,벤츠코리아 대표번호 080-001-1886,[벤츠] Mercedes-AMG E 53 4MATIC+ 등 4차종 - 변속기 배선 커넥터 관련 리콜,국토교통부,2022-10-28,[벤츠] Mercedes-AMG E 53 4MATIC+ 등 4차종 - 변속기 배선 커넥터 관련 리콜
628,628,한국지엠(주),이쿼녹스,2022-05-25 ~ 2022-07-15,2022-10-28 ~,86 대,기타장치,"시트 쿠션 프레임의 고정볼트가 정위치에 조립되지 않은 조립불량 상태 발생 시 검수 장비에서 검출되지 않고 통과된 시트 쿠션 프레임이 장착되었을 수 있으며, 이런 경우 시트가 제대로 고정되지 않아 충돌 시 탑승자가 상해를 입을 수 있는 가능성에 따른 리콜",운전석 시트 쿠션 프레임의 고정볼트 조립불량 여부 확인 후 조립불양 확인 시 시트 쿠션 프레임 교환<*일부 차량의 경우자동차 판매 이전에 동일한 시정조치를 완료하였기 때문에 추가로 서비스센터를 방문하시어 시정조치를 받으실 필요가 없을 수 있으므로 자세한 사항은 제작사 고객센터로 문의하여 주시기 바랍니다.>,한국지엠 대표번호 080-3000-5000,[한국지엠] 이쿼녹스 - 운전석 시트 쿠션 프레임 관련 리콜,국토교통부,2022-10-28,[한국지엠] 이쿼녹스 - 운전석 시트 쿠션 프레임 관련 리콜
629,629,폭스바겐그룹코리아 주식회사,"Touareg 3 3.0 TDI, Touareg 3.0 TDI, Touareg 4.0 TDI",2019-10-29 ~ 2021-10-20,2022-10-28 ~,"1,243 대",기타장치,"특정 기간 동안 생산, 수입된 일부 차량의 설계변경으로 전기 보조히터가 설치 되지 않아 자동차 안전기준에서 정한 서리 제거가 제대로 되지 않을 수 있으며, 이런 경우 운행 중 운전자의 시야를 방해하여 안전에 지장을 줄 수 있는 가능성에 따른 리콜 (*이는 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제109조(창닦이기장치등)의 일부를 준수하지 않아 국내 자동차 안전 기준을 충족하지 않을 수 있음)<*대상차량별 생산일자>Touareg 3 3.0 TDI: 2021.10.14~2021.10.20Touareg 3.0 TDI: 2019.10.29~2020.10.29Touareg 4.0 TDI: ?2020.02.05~2020.08.25",전열식 앞창유리 설치,폭스바겐그룹코리아 대표번호 080-767-0089,[폭스바겐그룹] Touareg 3 3.0 TDI 등 3차종 - 앞창유리 서리제거장치 관련 리콜,국토교통부,2022-10-28,[폭스바겐그룹] Touareg 3 3.0 TDI 등 3차종 - 앞창유리 서리제거장치 관련 리콜
630,630,(주)피라인,HYPERS 11L,2019-09-15 ~ 2021-03-03,2022-10-28 ~,82 대,기타장치,"승강구 내, 외부 열림 장치의 위치 및 높이가 잘못되어 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제29조(승강구)를 만족하지 못할 수 있으며, 이런 경우 비상 상황 시 승강구 개방 스위치를 찾지 못하거나 또는 내부의 경우 설치 높이가 높아 노약자나 어린이 등이 문을 개방할 수 없는 상황으로 인하여 사고 위험이 증가할 수 있는 가능성에 따른 리콜","대상차량 확인 후 내, 외부 열림 장치 위치 변경",피라인모터스 대표번호 02-2038-2407,"[피라인모터스] HYPERS 11L - 승강구 내, 외부 열림 장치 관련 리콜",국토교통부,2022-10-28,"[피라인모터스] HYPERS 11L - 승강구 내, 외부 열림 장치 관련 리콜"
631,631,메르세데스벤츠코리아(주),"C 300, C 300 4MATIC, C 200, C 200 4MATIC",2021-03-16 ~ 2022-03-19,2022-10-28 ~,"1,712 대",승차 및 실내장치,"부품 개발 공정 오류로 인해 후면 유리 선팅 작업을 하거나 우천 시 트렁크를 여는 경우 후방 SAM(Signal Acquisition and actuation Module) 컨트롤 유닛에 수분이 침투될 수 있으며, 이런 경우 후방 SAM 컨트롤 유닛 내부 전기 단락에 의한 화재의 위험을 배제할 수 없고, 또한 차량 후면의 외부 조명이 작동하지 않거나 후방 카메라를 사용하지 못할 수 있으며, 뒷좌석 등받이가 의도하지 않게 접힐 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>C 300: 2021.03.25~2022.03.19C 300 4MATIC: 2022.02.11~2022.02.21C 200: 2022.02.23C 200 4MATIC: 2021.03.16~2022.03.17",후방 SAM 컨트롤 유닛 보호 커버 장착,벤츠코리아 대표번호 080-001-1886,[벤츠] C 300 등 4차종 - 후방 SAM 컨트롤 유닛 관련 리콜,국토교통부,2022-10-28,[벤츠] C 300 등 4차종 - 후방 SAM 컨트롤 유닛 관련 리콜
632,632,메르세데스벤츠코리아(주),"GLE 300 d 4MATIC, GLE 350 4MATIC, GLE 350 e 4MATIC, GLE 450 4MATIC, Mercedes-AMG GLE 53 4MATIC+, GLS 400 d 4MATIC, GLS 450 4MATIC, GLS 580 4MATIC, Maybach GLS 600 4MATIC",2019-05-20 ~ 2022-03-09,2022-10-28 ~,"9,439 대",제동장치,"조립 공정 오류로 인하여 뒤도어 윈도우의 트림 바가 제대로 장착되지 않았을 수 있어 차량 주행 중에 트림 바가 뒤 도어 윈도우에서 분리될 수 있으며, 이런 경우 다른 도로 이용자의 사고 또는 부상의 위험을 초래할 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>GLE 300 d 4MATIC: 2021.01.27~2022.02.26GLE 300 d 4MATIC: 2019.06.04~2021.10.13GLE 350 4MATIC: 2019.11.30GLE 350 e 4MATIC: 2020.03.27~2022.03.02GLE 450 4MATIC: 2019.05.20~2022.03.09Mercedes-AMG GLE 53 4MATIC+: 2019.10.15~2022.01.28GLS 400 d 4MATIC: 2019.11.19~2021.04.19GLS 450 4MATIC: 2019.11.14~2021.04.19GLS 580 4MATIC: 2019.11.15~2021.10.27Maybach GLS 600 4MATIC: 2020.05.08~2021.09.18",뒤도어 윈도우 트림 바 점검 및 필요 시 삼각 측면 윈도우 교체,벤츠코리아 대표번호 080-001-1886,[벤츠] GLE 300 d 4MATIC 등 9차종 - 뒤 도어 윈도우 트림 바(trim bar) 관련 리콜,국토교통부,2022-10-28,[벤츠] GLE 300 d 4MATIC 등 9차종 - 뒤 도어 윈도우 트림 바(trim bar) 관련 리콜
633,633,메르세데스벤츠코리아(주),GLB 250 4MATIC,2020-10-19 ~ 2020-10-23,2022-10-28 ~,35 대,원동기,"물류 운송 과정 오류에 의한 외부 손상이 발생된 ESP 컨트롤 유닛이 차량에 장착되었을 수 있으며, 이로 인해 ESP 컨트롤 유닛 내부에 수분이 유입된 경우 ESP 컨트롤 유닛 내부 구성 요소가 손상될 수 있고, 이로 인해 ESP 기능(예: 차량 안전성 제어, ABS)이 정상적으로 작동되지 않을 수 있으며, 내부 단락에 의한 화재 위험을 배제할 수 없어, 충돌 또는 부상 위험이 증가될 수 있는 가능성에 따른 리콜",ESP 컨트롤 유닛 교체,벤츠코리아 대표번호 080-001-1886,[벤츠] GLB 250 4MATIC - ESP 컨트롤 유닛 관련 리콜,국토교통부,2022-10-28,[벤츠] GLB 250 4MATIC - ESP 컨트롤 유닛 관련 리콜
634,634,폭스바겐그룹코리아 주식회사,Golf 8 2.0 GTI,2022-10-23 ~ 2022-05-25,2022-10-28 ~,97 대,동력전달장치,"특정 기간 동안 생산된 차량의 제조 과정에서 라디에이터가 차체에 올바르게 체결되지 않았을 수 있으며, 이로 인하여 시간이 경과함에 따라 라디에이터가 헐거워져서 냉각수 호스가 V-벨트 풀리와 접촉할 할 가능성이 있고, 이런 경우 냉각수 호스가 손상되어 냉각수가 누출되는 경우 계기판에 경고등이 점등되며, 경고등을 무시하고 계속 주행하는 경우 엔진이 과열되어 화재가 발생할 수 있는 가능성에 따른 리콜",체결 상태 점검 및 필요 시 손상 부품 교환,폭스바겐그룹 대표번호 080-767-0089,[폭스바겐그룹] Golf 8 2.0 GTI - 리디에이터 관련 리콜,국토교통부,2022-10-28,[폭스바겐그룹] Golf 8 2.0 GTI - 리디에이터 관련 리콜
635,635,기아주식회사,쏘렌토 (MQ4),2020-02-26 ~ 2022-06-02,2022-10-27 ~,"93,945 대",동력전달장치,"변속기 제어장치(TCU) 안전운행 모드에 대한 소프트웨어 설계 오류가 있을 수 있으며, 이런 경우 습식 8단변속기 작동 불가로 경고등 점등 및 변속이 되지 않아 사고가 발생할 수 있는 가능성에 따른 리콜","변속기 제어장치(TCU) 소프트웨어 업데이트(안전운행 모드 진입 시: 짝수단 또는 후진 변속 가능으로 주행 가능 / 추가작업: 공기 빼기, 변속기 학습, 주행 점검)<*일부 차량의 경우이미 리콜에 해당하는 조치가 완료되어 추가 조치는 필요하지 않아 서비스센터 방문이 불필요 할 수 있으므로 자세한 사항은 제작사 고객센터로 문의하여 주시기 바랍니다.>",기아자동차 대표번호 080-200-2000,[기아] 쏘렌토 - 변속기 제어장치(TCU) 관련 리콜,국토교통부,2022-10-27,[기아] 쏘렌토 - 변속기 제어장치(TCU) 관련 리콜
636,636,현대자동차(주),"아반떼N (CN7N), 쏘나타N Line (DN8), 벨로스터N (JSN), 코나N (OSN), 싼타페 (TM PE)",2020-01-06 ~ 2022-05-31,2022-10-27 ~,"68,973 대",승차 및 실내장치,"변속기 제어장치(TCU) 안전운행 모드에 대한 소프트웨어 설계 오류가 있을 수 있으며, 이런 경우 습식 8단변속기 작동 불가로 경고등 점등 및 변속이 되지 않아 사고가 발생할 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>아반떼N (CN7N): 2021.01.12~2022.04.04쏘나타N Line (DN8): 2020.06.15~2022.04.08벨로스터N (JSN): 2020.01.06~2022.04.22코나N (OSN): 2020.11.16~2022.03.24싼타페 (TM PE): 2020.01.14~2022.05.31","변속기제어장치(TCU) 소프트웨어 업데이트(안전운행 모드 진입 시: 짝수단 또는 후진 변속 기능으로 주행 가능 / 추가 작업: 공기 빼기, 변속기 학습 및 점검)<*일부 차량의 경우이미 리콜에 해당하는 조치가 완료되어 추가 조치가 필요하지 않아 서비스센터 방문이 불필요 할 수 있으므로 자세한 사항은 제작사 고객센터로 문의하여 주시기 바랍니다.>",현대자동차 대표번호 080-600-6000,[현대] 아반떼 N 등 5차종 - 변속기제어장치(TCU) 관련 리콜,국토교통부,2022-10-27,[현대] 아반떼 N 등 5차종 - 변속기제어장치(TCU) 관련 리콜
637,637,현대자동차(주),"싼타페(TM PE), 싼타페 하이브리드(TM HEV), G80 전기차 (RG3 EV)",2020-06-17 ~ 2022-07-26,2022-10-27 ~,"83,457 대",전기장치,"충돌 사고시 앞좌석 안전띠 조절장치 내부부품(프리텐셔너 가스발생기)의 작동반발력이 증가하여 장치내 일부부품(가스발생기)이 튀어나올 가능성이 있으며, 이런 경우 뒷좌석 탑승자에게 상해를 입힐 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>싼타페(TM PE): 2020.06.17~2022.07.26싼타페 하이브리드(TM HEV): 2021.06.01~2022.07.21G80 전기차 (RG3 EV): 2021.03.16~2022.07.23",앞좌석 안전띠 조절장치 가스발생기부 보강커버 설치 (*G80 전기차의 경우 운전석만 해당됨),현대자동차 대표번호 080-600-6000 / 제네시스 대표번호 080-700-6000,[현대] 싼타페 등 3차종 - 앞좌석 안전띠 관련 리콜,국토교통부,2022-10-27,[현대] 싼타페 등 3차종 - 앞좌석 안전띠 관련 리콜
638,638,현대자동차(주),파비스(QV),2021-08-09 ~ 2021-09-07,2022-10-26 ~,4 대,전기장치,"차로이탈경고장치, 비상자동제동장치가 적용되지 않은 차량이 생산되었을 수 있으며, 이런 경우 차로이탈경고장치(LDWS), 비상자동제동장치(FCA)가 적용되지 않아 안전기준에 부적합 할 수 있는 가능성에 따른 리콜",점검 후 수리 또는 교환,현대자동차(상용) 대표번호 080-200-6000,[현대] 파비스 - 비상자동제동장치 ECU 관련 리콜,국토교통부,2022-10-26,[현대] 파비스 - 비상자동제동장치 ECU 관련 리콜
639,639,메르세데스벤츠코리아(주),"C 300, S 350 d, S 400 d 4MATIC, S 450 4MATIC, S 500 4MATIC, S 580 4MATIC, Maybach S 580 4MATIC, EQE 350, EQS 350, EQS 450+, EQS 450 4MATIC, Mercedes-AMG EQS 53 4MATIC+",2021-03-15 ~ 2021-12-22,2022-10-21 ~,262 대,승차 및 실내장치,"비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있으며, 이런 경우 차량 사고 발생 시 비상 통화 기능을 사용할 수 없고, 이로 인해 필요한 구조 활동이 지연되어 승객의 부상 위험을 증가시킬 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>C 300: 2021.03.26~2021.03.31S 350 d: 2021.08.02~2021.10.19S 400 d 4MATIC: 2021.07.07~2021.10.21S 450 4MATIC: 2021.06.28~2021.10.18S 500 4MATIC: 2021.06.30~2021.10.04S 580 4MATIC: 2021.09.23~2021.10.21Maybach S 580 4MATIC: 2021.07.03~2021.09.13EQE 350: 2021.12.10~2021.12.22EQS 350: 2021.09.07EQS 450+: 2021.03.15~2021.10.08EQS 450 4MATIC: 2021.10.25Mercedes-AMG EQS 53 4MATIC+: 2021.07.14?",비상 통신 모듈 소프트웨어 업데이트,벤츠코리아 대표번호 080-001-1886,[벤츠] C 300 등 12차종 - 비상 통신 모듈 관련 리콜,국토교통부,2022-10-21,[벤츠] C 300 등 12차종 - 비상 통신 모듈 관련 리콜
640,640,포르쉐코리아 주식회사,타이칸,2021-05-31 ~ 2021-05-31,2022-10-21 ~,1 대,차체/차대,"계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
2022RIV169 리콜 보고 이후 2022년 9월 27일 같은 결함에 해당되는 차량 1대를 독일 본사로부터 인지하여 이에 추가 보고를 하고 시정조치를 시행하고자 합니다.
해당 추가 차량 1대는 포르쉐코리아를 거치지 않고 LG 전자에서 연구, 시험 목적으로 직수입한 차량으로 확인되었습니다.
따라서, 당사에서 매출액이 발생하지 않은 차량입니다.계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호(제동장치 고장 자동 표시기)로 표시되지 않을 수 있으며, 이런 경우 운전자가 제동장치의 고장을 제대로 인지하지 못하여 안전에 지장을 줄 수 있는 가능성에 따른 리콜","계기판과 관련된 컨트롤 유닛의 소프트웨어를 업데이트 함. 추가로, PCM 업데이트를 포함한 소프트웨어 패키지 업데이트를 본 리콜과 함께 진행할 예정임.",포르쉐코리아 대표번호 080-8100-911,계기판 소프트웨어 재 프로그래밍 (ANA7_1),국토교통부,2022-10-21,계기판 소프트웨어 재 프로그래밍 (ANA7_1)
641,641,포드세일즈서비스코리아(유),"2022년식 Aviator, Explorer",2022-04-06 ~ 2022-05-01,2022-10-18 ~,36 대,창유리,"프론트 사이드 멤버의 강성 부족으로 충돌 시 탑승자가 상해를 입거나 엔진룸에 연료가 누출될 수 있는 가능성에 따른 리콜 (*이는 안전기준 (FMVSS, 연방 자동차 안전 표준) 요구 사항을 준수하지 못할 수 있음)<*대상차량별 생산일자>Aviator: 2022.04.16~2022.04.25Explorer: 2022.04.06~2022.05.01",프론트 사이드 멤버에 대해 1단계 경도 테스트를 실시하고 필요 시 2단계 경도 테스트를 실시함경도 테스트를 통과하지 못한 경우 올바른 강성으로 생산된 신품 프론트 사이드 멤버로 교환함,선인자동차: 02-2216-1100 / 프리미어모터스: 1522-5405 / 더파크모터스: 031-8030-1000 / 이한모터스: 062-515-1020,[포드]  Aviator 등 2차종 - 프론트 사이드 멤버 관련 리콜,국토교통부,2022-10-18,[포드]  Aviator 등 2차종 - 프론트 사이드 멤버 관련 리콜
642,642,포드세일즈서비스코리아(유),2022년식 Bronco,2022-01-12 ~ 2022-04-12,2022-10-18 ~,342 대,연료장치,"전면 창유리 접착이 올바르지 않게 완료되었을 수 있으며, 이런 경우 충돌 시 앞면 창유리가 올바르게 고정되지 않아 충돌 상황에서 부상 위험이 증가할 수 있는 가능성에 따른 리콜 (*이는 FMVSS(연방 자동차 안전 표준) 'No.212 앞면 창유리 장착'에 지정된 요구 사항을 준수하지 못할 수 있음)",앞면 창유리 탈거 후 재부착,선인자동차: 02-2216-1100 / 프리미어모터스: 1522-5405 / 더파크모터스: 02-6177-1000 / 이한모터스: 062-515-1020,[포드] Bronco - 앞면 창유리 접착 관련 리콜,국토교통부,2022-10-18,[포드] Bronco - 앞면 창유리 접착 관련 리콜
643,643,메르세데스벤츠코리아(주),"C 300, C 200 4MATIC",2021-03-16 ~ 2021-03-31,2022-10-14 ~,4 대,전기장치,"조립 공정 오류로 인해 연료 호스가 잘못된 경로로 장착되었을 수 있으며, 이로 인해 스티어링 작동 시 연료 호스가 스티어링 칼럼과 간섭되어 손상될 수 있고 이런 경우 연료가 누유될 수 있는 가능성에 따른 리콜 (연료가 누유되더라도 주변에 배기장치나 엔진의 뜨거운 부분이 없기 때문에 화재 위험은 배제할 수 있음)<*대상차량별 생산일자>C 300: 2021.03.25~2021.03.3C 200 4MATIC: 2021.03.16~2021.03.26",연료 호스 장착 경로 점검 및 필요 시 교체,벤츠코리아 대표번호 080-001-1886,[벤츠] C 300 등 2차종 - 연료 호스 관련 리콜,국토교통부,2022-10-14,[벤츠] C 300 등 2차종 - 연료 호스 관련 리콜
644,644,메르세데스벤츠코리아(주),GLC 220 d 4MATIC,2022-09-13 ~ 2022-09-13,2022-10-14 ~,1 대,원동기,"조립 공정 오류로 B-필러 내의 와이어링 하니스가 펠트 스트립(felt-strip)으로 고정되지 않았을 수 있으며, 이로 인해 차량 운행 시의 진동으로 와이어링 하니스가 손상되는 경우 전기 단락에 의한 화재의 위험을 배제하지 못할 수 있음에 따른 리콜",B-필러 내 와이어링 하니스 장착 상태 점검 및 필요 시 재작업,벤츠코리아 대표번호 080-001-1886,[벤츠] GLC 220 d 4MATIC  - B-필러 내 와이러이 하니스 관련 리콜,국토교통부,2022-10-14,[벤츠] GLC 220 d 4MATIC  - B-필러 내 와이러이 하니스 관련 리콜
645,645,비엠더블유코리아(주),"BMW 330e iPerformance, BMW 530e, BMW 530e iPerformance Luxury, BMW 740e iPerformance, BMW 740Le xDrive iPerformance",2016-03-11 ~ 2020-06-30,2022-10-13 ~,"1,864 대",전기장치,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생되는 경우 배터리와 스타터 모터 사이에 전기적 공급이 차단되지 않고 지속될 수 있으며, 이런 경우 스타터 모터 내부 과열로 인해 불꽃이 발생될 수 있고, 매운 드문 경우 화재가 발생할 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>BMW 330e iPerformance: 2016.03.11~2018.07.16BMW 530e: 2018.04.24~2018.04.24BMW 530e iPerformance Luxury: 2019.06.13~2020.06.30BMW 740e iPerformance: 2016.07.28~2019.01.31BMW 740Le xDrive iPerformance: 2017.09.28~2017.10.05?",스타터 모터 내부에 개선된 브러시 홀더로 교체,비엠더블유 대표번호 080-700-8000,[비엠더블유] BMW 330e iPerformance 등 5차종 - 스타터 모터 관련 리콜,국토교통부,2022-10-13,[비엠더블유] BMW 330e iPerformance 등 5차종 - 스타터 모터 관련 리콜
646,646,비엠더블유코리아(주),"BMW 330e, BMW 530e",2021-01-28 ~ 2021-06-29,2022-10-13 ~,2 대,원동기,"배터리 셀 생산 공정 중 셀 내부 전극이 정상적으로 재단되지 않아 와인당 과정에서 분리막에 손상이 발생하였을 수 있으며, 이런 경우 고전압 배터리 셀의 단락이 발생하여 자기방전이 증가될 수 있고, 셀 모듈이 과열되어 화재가 발생할 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>BMW 330e: 2021.01.28BMW 530e: 2021.06.29",정상적으로 생산된 셀 모듈로 교체함,비엠더블유 대표번호 080-700-8000,[비엠더블유] BMW 330e 등 2차종 - 고전압 배터리 셀 관련 리콜,국토교통부,2022-10-13,[비엠더블유] BMW 330e 등 2차종 - 고전압 배터리 셀 관련 리콜
647,647,비엠더블유코리아(주),"BMW M550i xDrive Sedan, BMW X5 M50i, BMW X6 M50i, BMW X7 M50i",2021-06-25 ~ 2021-08-26,2022-10-11 ~,39 대,승차 및 실내장치,"써모스탯 부품사 장비 노후로 특정 로트에서 o-ring이 이탈되는 불량품이 생산되었을 수 있으며, o-ring이 이탈되는 경우 냉각수 누수가 발생할 수 있는 가능성에 따른 리콜<*대상차량별 생산일자는 상이할 수 있으므로 자세한 사항은 제작사 고개센터로 문의하여 주시기 바랍니다.>",정상적으로 생산된 써모스탯으로 교환함,비엠더블유 대표번호 080-700-8000,[비엠더블유] BMW M550i xDrive Sedan 등 4차종 - 써모스탯 관련 리콜,환경부,2022-10-11,[비엠더블유] BMW M550i xDrive Sedan 등 4차종 - 써모스탯 관련 리콜
648,648,포르쉐코리아 주식회사,"파나메라, 카이엔, 마칸, 911, 718",2019-05-23 ~ 2022-07-28,2022-10-11 ~,"3,914 대",주행장치,"계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차 부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호(제동장치고장자동표시기)로 표시되지 않을 수 있으며, 이런 경우 운전자가 제동장치 고장을 제대로 인지 못하여 안전에 지장을 줄 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>파나메라: 2020.07.06~2021.11.18카이엔: 2021.07.22~2021.11.22마칸: 2021.05.25~2021.12.20911: 2019.05.23~2021.10.29718: 2020.03.09~2022.07.28",계기판과 관련된 컨트롤 유닛의 소프트웨어를 업데이트,포르쉐코리아 대표번호 080-8100-911,[포르쉐] 파나메라 등 5차종 - 계기판 소프트웨어 관련 리콜,국토교통부,2022-10-11,[포르쉐] 파나메라 등 5차종 - 계기판 소프트웨어 관련 리콜
649,649,스카니아코리아그룹(주),"스카니아 카고, 스카니아 트랙터",2021-02-15 ~ 2021-04-13,2022-10-11 ~,55 대,등화장치,"타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 수 있으며, 이런 경우 타이로드와 볼 조인트(타이로드엔드) 연결부가 느슨해져 분리되어 조향이 제대로 되지 않아 안전에 지장을 줄 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>스카니아 카고트럭(P 280 B4x2NA): 2021.02.17~2021.03.22스카니아 카고트럭(S 540 B10x4*6NA): 2021.02.24~2021.02.25스카니아 카고트럭(R 450 B8x4*4NA): 2021.02.16~2021.02.17스카니아 카고트럭(R 500 B10x4*6NA): 2021.02.15~2021.02.16스카니아 카고트럭(G 500 B8x4*4NA): 2021.02.15~2021.02.16스카니아 카고트럭(G 450 B8x4*4NA): 2021.03.17스카니아 카고트럭(G 450 B10x4*6NA): 2021.03.16스카니아 카고트럭(P 360 B6x2*4NA): 2021.04.01스카니아 트랙터(R 500 A6x2NA): 2021.02.24~2021.04.13스카니아 트랙터(R 450 A6x2NA): 2021.04.12",점검 후 개선된 타이로드 교체,스카니아 대표번호 1588-6575,[스카니아] 스카니아 카고 등 2차종 - 타이로드 관련 리콜,국토교통부,2022-10-11,[스카니아] 스카니아 카고 등 2차종 - 타이로드 관련 리콜
650,650,모토스타코리아(주),"JET14, JET14 ABS",2017-11-02 ~ 2020-10-28,2022-10-11 ~,"3,648 대",제동장치,"자동차안전기준 제77조의2 (차폭등) 색도기준 미달이 확인되었으며, 이런 경우 주행 중 주변차량 및 보행자의 시인성 확보에 장애를 줄 수 있는 가능성에 따른 리콜<*대상차량별 생산일자>JET14(XC12WW): 2017.11.02~2020.10.28JET14 ABS(XC12WY): 2019.06.20~2020.09.29",개선된 차폭등 교체,모토스타코리아 대표번호 02-325-7372,[모토스타] JET14 등 2차종 - 차폭등 관련 리콜,국토교통부,2022-10-11,[모토스타] JET14 등 2차종 - 차폭등 관련 리콜
651,651,다임러트럭코리아(주),스프린터 (Sprinter),2018-08-09 ~ 2020-12-16,2022-10-07 ~,179 대,승차 및 실내장치,"공급업체 생산 오류로 인하여 후방 브레이크 캘리퍼 내 전자식 주차 브레이크의 피스톤과 모터가 완전하게 씰링되지 않을 수 있으며, 이런 경우 브레이크 오일이 누유될 수 있고 이로 인해 제동력이 저하되어 충돌 위험성이 증가될 수 있는 가능성에 따른 리콜",후방 브레이크 캘리퍼 교체,벤츠코리아 대표번호 080-001-1886,[벤츠] 스프린터 - 후방 브레이크 캘리퍼 관련 리콜,국토교통부,2022-10-07,[벤츠] 스프린터 - 후방 브레이크 캘리퍼 관련 리콜
